title,ingredients,directions,link,source,NER
Scalloped Corn,"[""2 cans cream-style corn"", ""2 eggs"", ""1 Tbsp. sugar"", ""1/2 c. milk"", ""8 saltine crackers"", ""4 Tbsp. butter""]","[""Put corn in baking dish."", ""Beat eggs and add sugar and milk. Pour over corn."", ""Crumble crackers; melt butter and stir together. Sprinkle over top and cook at 325\u00b0 for 45 minutes or until brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=732047,Gathered,"['cream-style', 'eggs', 'sugar', 'milk', 'crackers', 'butter']"
Mayonnaise Rolls,"[""1 c. White Lily Self Rising Flour"", ""1/3 c. mayonnaise"", ""1/2 c. sweet milk"", ""pinch salt""]","[""Mix well, fill muffin pans 1/3 full."", ""Bake at 400\u00b0 until brown."", ""Makes about 6 rolls.""]",www.cookbooks.com/Recipe-Details.aspx?id=965986,Gathered,"['White Lily', 'mayonnaise', 'sweet milk', 'salt']"
Hello Dolly Bars,"[""1 stick of Oleo"", ""1 c. Graham Cracker Crumbs"", ""1 c. Chocolate Chips"", ""1 c. Butterscotch Chips"", ""1 c. Walnuts, chopped, optional"", ""1 c. Coconut, shedded"", ""1 c. Condensed Milk""]","[""Melt oleo in a pan."", ""Add graham cracker."", ""Mix and spread in bottom of a 9 x 13 inch greased pan."", ""Layer chocolate chips, butterscotch chips, walnuts if desired and shredded coconut."", ""Pour condensed milk on top and bake at 350\u00b0 for 30-35 minutes."", ""Cool and cut into bars.""]",www.cookbooks.com/Recipe-Details.aspx?id=78149,Gathered,"['Graham Cracker Crumbs', 'Chocolate Chips', 'Butterscotch Chips', 'Walnuts', 'Coconut', 'Condensed Milk']"
Battered Fried Fish,"[""1 (1 lb.) haddock"", ""salt"", ""1 egg"", ""1 1/4 c. evaporated milk"", ""1 c. flour"", ""2 tsp. baking powder"", ""1/4 c. cornmeal""]","[""Cut haddock"", ""into serving-size pieces, sprinkle lightly with salt."", ""Mix\t1/4 teaspoon salt with remaining ingredients, dip haddock pieces into"", ""egg mixture."", ""Fry in deep fat at 375\u00b0 for 5 minutes or until brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=633490,Gathered,"['haddock', 'salt', 'egg', 'milk', 'flour', 'baking powder', 'cornmeal']"
Beef And Macaroni Skillet Dinner,"[""1 to 1 1/2 lb. ground beef"", ""1/2 tsp. pepper"", ""1 tsp. salt"", ""2 c. dry macaroni"", ""1 c. water"", ""1 tsp. Worcestershire sauce"", ""1 small green pepper, chopped"", ""1 small onion, chopped"", ""1 (28 oz.) can tomato sauce""]","[""Brown ground beef in large skillet."", ""Add remaining ingredients; stir."", ""Bring to boil."", ""Reduce to simmer."", ""Cover. Cook until macaroni is tender, about 20 to 25 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=273149,Gathered,"['ground beef', 'pepper', 'salt', 'macaroni', 'water', 'Worcestershire sauce', 'green pepper', 'onion', 'tomato sauce']"
Raw Eggs On Toast,"[""pound cake"", ""whipped cream or Cool Whip"", ""peach halves""]","[""On a slice of pound cake, put a scoop of whipped cream."", ""In center of whipped cream, put peach half.""]",www.cookbooks.com/Recipe-Details.aspx?id=1050489,Gathered,"['cake', 'whipped cream', 'peach halves']"
Caramel Layer Chocolate Squares,"[""1 (14 oz.) bag caramels"", ""1/3 c. evaporated milk"", ""1/3 c. evaporated milk"", ""1 German chocolate cake mix"", ""3/4 c. butter or margarine"", ""1 c. chopped nuts"", ""12 oz. bag chocolate chips""]","[""Melt together caramels and 1/3 cup evaporated milk."", ""Mix together 1/3 cup evaporated milk, cake mix, butter and nuts. Press 1/2 cake mixture into greased and floured pan."", ""Bake at 350\u00b0 for 6 minutes (probably longer)."", ""Remove from oven.""]",www.cookbooks.com/Recipe-Details.aspx?id=981980,Gathered,"['caramels', 'milk', 'milk', 'chocolate cake', 'butter', 'nuts', 'chocolate chips']"
Moist Oatmeal Cookies,"[""2 c. flour"", ""1 1/4 c. sugar"", ""1 tsp. baking powder"", ""1/2 tsp. baking soda"", ""1 tsp. salt"", ""1 tsp. cinnamon"", ""3 c. quick Quaker oats"", ""1 c. raisins or chopped dates"", ""1/2 c. chopped nuts"", ""1/2 c. Mazola oil"", ""1/2 c. unsweetened applesauce"", ""2 eggs"", ""1/2 c. milk"", ""1 tsp. vanilla""]","[""Sift together in a large bowl the flour, sugar, baking powder, baking soda, salt and cinnamon."", ""Then add oats, raisins or dates and nuts."", ""Mix and add the oil, applesauce, eggs, milk and vanilla.""]",www.cookbooks.com/Recipe-Details.aspx?id=856556,Gathered,"['flour', 'sugar', 'baking powder', 'baking soda', 'salt', 'cinnamon', 'oats', 'raisins', 'nuts', 'oil', 'unsweetened applesauce', 'eggs', 'milk', 'vanilla']"
Frozen Cucumber,"[""8 c. thinly sliced cucumbers, peeled"", ""1 large onion"", ""1 Tbsp. salt (not iodized)"", ""1 c. sugar"", ""1/2 c. vinegar""]","[""Combine cucumbers, onion and salt and refrigerate 2 hours. Dissolve sugar and vinegar and set aside."", ""Drain cucumbers and rinse salt off."", ""Add sugar and vinegar mixture."", ""Stir, pack and freeze."", ""A bit of summer heaven in winter!""]",www.cookbooks.com/Recipe-Details.aspx?id=901338,Gathered,"['cucumbers', 'onion', 'salt', 'sugar', 'vinegar']"
Pistachio Coffee Cake,"[""1 pkg. Pillsbury Plus yellow cake mix (pudding in the mix)"", ""1 pkg. Royal pistachio instant pudding"", ""1 (8 oz.) container sour cream"", ""4 eggs"", ""1/4 c. cold water"", ""1/4 c. Mazola or Wesson oil""]","[""Beat all together for 2 to 3 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=914746,Gathered,"['yellow cake', 'pistachio instant pudding', 'sour cream', 'eggs', 'cold water', 'Wesson oil']"
Ginny'S Salad,"[""3 to 4 bunches red leaf lettuce"", ""12 oz. shredded Mozzarella cheese"", ""6 to 8 oz. chopped walnuts"", ""2 pkg. Good Seasons Italian dressing, mixed according to directions""]","[""Wash, dry and break lettuce into bite size pieces."", ""Toss in cheese and walnuts."", ""Mix with dressing prior to serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=278602,Gathered,"['Mozzarella cheese', 'walnuts', 'Italian dressing']"
Pickles,"[""2 gal. cucumbers"", ""1 gal. vinegar"", ""1 box alum"", ""2 c. salt"", ""1 gal. water""]","[""First Day:"", ""Pour boiling water with salt over cucumbers; let stand 24 hours.""]",www.cookbooks.com/Recipe-Details.aspx?id=602161,Gathered,"['cucumbers', 'vinegar', 'alum', 'salt', 'water']"
Crispy Baked Onion Rings,"[""2 large sweet onions"", ""1 (7 oz.) pkg. corn flakes"", ""1 tsp. seasoned salt"", ""2 tsp. sugar"", ""1 tsp. paprika"", ""1 c. egg substitute""]","[""Cut onions into rings. Combine cereal, salt, sugar and paprika."", ""Divide in half. Beat egg at high speed with electric mixer until soft peaks form. Dip onion in egg."", ""Dredge in crumb mixture."", ""Place in single layer on baking sheet coated with vegetable cooking spray."", ""Bake at 375\u00b0 for 15 minutes until crispy. Good and low-fat.""]",www.cookbooks.com/Recipe-Details.aspx?id=400922,Gathered,"['sweet onions', 'corn flakes', 'salt', 'sugar', 'paprika', 'egg substitute']"
Lucy Policella'S Ricotta Cheese Cake,"[""1 box white cake mix"", ""1 lb. Ricotta cheese"", ""approximately 1/2 c. sugar (or as you like it)"", ""chocolate mini morsels"", ""rum"", ""1 small whipping cream whip"", ""sugar to taste""]","[""Bake cake mix as directed."", ""Cool down and cut in half."", ""(You can use a 9 x 13-inch pan.)"", ""Beat Ricotta cheese with approximately 1/2 cup of sugar."", ""Add chocolate mini morsels. Sprinkle rum on bottom half and add Ricotta mixture in the middle. Top with other half of cake."", ""Take whipping cream whip and add sugar to taste."", ""Spread on top and sides of cake."", ""Refrigerate. Best if made the day before.""]",www.cookbooks.com/Recipe-Details.aspx?id=1044422,Gathered,"['white cake mix', 'Ricotta cheese', 'sugar', 'chocolate', 'rum', 'whipping cream', 'sugar']"
Aunty Ann'S Vegetable Chowder,"[""1 c. sliced onion"", ""1 c. sliced celery"", ""1 clove minced garlic"", ""1 c. tomatoes, chopped"", ""1/2 lb. carrots, sliced"", ""6 c. Knorr vegetable broth"", ""16 oz. can whole tomatoes, chopped"", ""4 c. shredded cabbage"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""1/2 lb. zucchini, sliced"", ""20 oz. can light kidney beans"", ""17 oz. can whole kernel corn""]","[""In a five-quart Dutch oven, heat 3 tablespoons of corn oil. Add onion, celery and garlic and saute for five minutes."", ""Add 1 cup chopped tomatoes and the carrots and cook for five minutes."", ""Add vegetable broth, can of whole tomatoes (chopped), cabbage, salt and pepper and simmer for 1 hour or until vegetables are tender."", ""Add zucchini and cook 10 minutes."", ""Add kidney beans and corn and heat.""]",www.cookbooks.com/Recipe-Details.aspx?id=705402,Gathered,"['onion', 'celery', 'garlic', 'tomatoes', 'carrots', 'vegetable broth', 'tomatoes', 'cabbage', 'salt', 'pepper', 'zucchini', 'light kidney beans', 'whole kernel corn']"
Teresa'S Brisket,"[""garlic"", ""onion"", ""celery powder"", ""minced onion"", ""bottle of liquid smoke"", ""brisket"", ""Worcestershire sauce"", ""black pepper""]","[""Cover with all ingredients and refrigerate overnight in a 13 x 9-inch pan."", ""Next morning add 1 bottle Worcestershire sauce and black pepper."", ""Bake in 275\u00b0 oven for 6 to 8 hours."", ""Cover with barbecue sauce.""]",www.cookbooks.com/Recipe-Details.aspx?id=423885,Gathered,"['garlic', 'onion', 'celery powder', 'onion', 'liquid smoke', 'brisket', 'Worcestershire sauce', 'black pepper']"
Corn Relish,"[""1/3 c. sugar"", ""1 Tbsp. cornstarch"", ""2 Tbsp. onion, finely chopped"", ""1 tsp. ground turmeric"", ""1/2 tsp. celery seed"", ""1/4 c. vinegar"", ""1/4 c. water"", ""12 oz. can whole kernel corn, drained"", ""2 Tbsp. green pepper, finely chopped"", ""1 Tbsp. pimiento, chopped""]","[""In saucepan, combine sugar, cornstarch, onion, turmeric, celery seed, vinegar, water and corn."", ""Cook and stir until mixture thickens and bubbles."", ""Stir in green pepper and pimiento. Chill."", ""Keeps well in refrigerator."", ""Makes 1 3/4 cups.""]",www.cookbooks.com/Recipe-Details.aspx?id=671159,Gathered,"['sugar', 'cornstarch', 'onion', 'ground turmeric', 'celery', 'vinegar', 'water', 'whole kernel corn', 'green pepper', 'pimiento']"
Burnt Caramel Cake Icing,"[""2 c. sugar"", ""3/4 c. milk"", ""1 Tbsp. white Karo syrup"", ""1/2 c. sugar""]","[""Put 2 cups sugar and milk in a saucepan."", ""Add syrup."", ""Put the 1/2 cup sugar in a small skillet and pour enough water over it to moisten good."", ""Turn on low heat under saucepan."", ""While it is heating, brown the sugar in the skillet."", ""When brown, pour it into the saucepan."", ""Cook until soft ball forms in cold water."", ""Remove from stove and beat until ready to spread on the cake."", ""Add butter, the size of a walnut, and flavoring.""]",www.cookbooks.com/Recipe-Details.aspx?id=808776,Gathered,"['sugar', 'milk', 'white Karo syrup', 'sugar']"
Susan'S Crock-Pot Dressing,"[""1 pkg. cornbread crumbs or 1 pan cornbread"", ""8 slices day old bread"", ""1 medium chopped onion"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""2 cans cream of chicken soup"", ""2 cans chicken broth"", ""4 eggs"", ""1/2 c. fine chopped celery"", ""1 1/2 Tbsp. sage or poultry seasoning"", ""2 Tbsp. margarine""]","[""Mix and add to breads."", ""Combine thoroughly."", ""Pour into crock-pot."", ""Dot top with margarine."", ""Cook on High for 2 hours. Then cook on low for 3 to 4 hours."", ""Pour into baking dish and brown in 350\u00b0"", ""oven for 10 minutes."", ""Serves 8 to 10.""]",www.cookbooks.com/Recipe-Details.aspx?id=217349,Gathered,"['cornbread crumbs', 'bread', 'onion', 'salt', 'pepper', 'cream of chicken soup', 'chicken broth', 'eggs', 'celery', 'sage', 'margarine']"
Quick Coffee Cake(Double Recipe)  ,"[""2 c. flour"", ""6 tsp. baking powder"", ""1 tsp. cinnamon"", ""1 c. sugar"", ""1 tsp. salt"", ""2 beaten eggs"", ""1 c. milk"", ""1/2 c. melted oleo or butter""]","[""Mix all together."", ""Spread in a 13 x 9-inch pan or two 8-inch pans."", ""Sprinkle top thickly with sugar and cinnamon (is good with chopped nuts)."", ""Bake at 375\u00b0 for 15 to 21 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=752472,Gathered,"['flour', 'baking powder', 'cinnamon', 'sugar', 'salt', 'eggs', 'milk', 'oleo']"
Broccoli Supreme,"[""1 pkg. fresh broccoli"", ""1 can cream of mushroom soup"", ""1 c. mayonnaise"", ""2 eggs, beaten well"", ""1 medium onion, chopped"", ""1 c. grated Cheddar cheese"", ""1/4 c. margarine"", ""1 1/2 c. herb-seasoned stuffing crumbs""]","[""Cook and drain broccoli."", ""Combine soup, mayonnaise and onion. Blend in cooked broccoli."", ""Pour into greased 9 x 13-inch baking pan."", ""Sprinkle with cheese."", ""Melt margarine and add seasoned crumbs."", ""Mix well and sprinkle over top of cheese."", ""Bake in 350\u00b0 oven 30 to 45 minutes."", ""Makes 6 to 8 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=264307,Gathered,"['fresh broccoli', 'cream of mushroom soup', 'mayonnaise', 'eggs', 'onion', 'Cheddar cheese', 'margarine', 'stuffing crumbs']"
Cabbage Rolls,"[""1 head cabbage"", ""1 lb. hamburger"", ""1 c. cooked rice"", ""1/2 tsp. pepper"", ""1 egg"", ""1 tsp. salt"", ""chopped onion"", ""1 can tomatoes""]","[""Wilt cabbage leaves in hot water."", ""Combine all ingredients and mix thoroughly."", ""Form into rolls and wrap in cabbage leaves. Place cabbage rolls in a cooker."", ""Add tomatoes and cook over medium heat until hamburger is done and cabbage leaves are tender. Delicious.""]",www.cookbooks.com/Recipe-Details.aspx?id=237419,Gathered,"['cabbage', 'hamburger', 'rice', 'pepper', 'egg', 'salt', 'onion', 'tomatoes']"
Harvest Corn,"[""1 can cream-style corn"", ""2 eggs"", ""1/4 c. sugar"", ""dash of salt"", ""1/2 c. grated carrots"", ""1/2 c. chopped onion"", ""1/2 c. chopped celery"", ""1/2 c. chopped bell pepper"", ""1/2 c. canned milk"", ""1/2 c. cracker crumbs"", ""Tabasco sauce (optional)""]","[""Mix ingredients."", ""Top with grated Cheddar cheese; sprinkle cheese with paprika (for color)."", ""Bake at 375\u00b0 until golden brown, about 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=663326,Gathered,"['cream-style corn', 'eggs', 'sugar', 'salt', 'carrots', 'onion', 'celery', 'bell pepper', 'milk', 'cracker crumbs', 'Tabasco sauce']"
Mom'S Angel Biscuits,"[""5 c. all-purpose flour"", ""3 tsp. baking powder"", ""1 tsp. soda"", ""1 tsp. salt"", ""3 Tbsp. sugar"", ""1 cake yeast"", ""2 Tbsp. warm water"", ""1 c. Crisco"", ""2 c. buttermilk""]","[""Dissolve yeast in warm water."", ""Sift dry ingredients."", ""Cut in shortening."", ""Add yeast mixture and buttermilk. Knead a few times in a little flour."", ""Put in refrigerator."", ""Take out about 20 minutes before baking for best results."", ""Bake at 450\u00b0 for approximately 10 minutes or until golden brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=992676,Gathered,"['flour', 'baking powder', 'soda', 'salt', 'sugar', 'cake yeast', 'water', 'Crisco', 'buttermilk']"
30 Minute Chocolate Cake,"[""2 sticks margarine"", ""3 Tbsp. cocoa"", ""1 c. water"", ""2 c. flour"", ""2 c. sugar"", ""2 eggs"", ""1/2 c. buttermilk"", ""1 tsp. soda"", ""1 tsp. vanilla""]","[""Preheat oven to 400\u00b0."", ""Grease 9 x 12-inch pan."", ""Bring to boil in saucepan the margarine, cocoa and water."", ""Remove from heat and pour over flour and sugar."", ""Mix well."", ""Add rest of ingredients and mix well."", ""Bake at 400\u00b0 for 20 minutes until set."", ""Pour topping on while still hot.""]",www.cookbooks.com/Recipe-Details.aspx?id=176383,Gathered,"['margarine', 'cocoa', 'water', 'flour', 'sugar', 'eggs', 'buttermilk', 'soda', 'vanilla']"
Banana Nut Bread,"[""1 c. butter or margarine"", ""2 c. sugar"", ""4 eggs"", ""1/4 tsp. salt"", ""2 tsp. soda"", ""4 c. flour"", ""6 large very ripe bananas, mashed"", ""1 c. finely chopped pecans""]","[""Cream together butter"", ""and"", ""sugar."", ""Add"", ""eggs, one at a time, beating"", ""well after each addition.\tSift dry ingredients together and add"", ""to"", ""creamed"", ""mixture."", ""Add bananas and nuts. Pour into well greased loaf pans and bake at 250\u00b0 to 300\u00b0 from 1 to 2 hours. A few of the pecans may be saved for sprinkling over the top of each loaf before baking."", ""Yield:"", ""2 loaves.""]",www.cookbooks.com/Recipe-Details.aspx?id=679480,Gathered,"['butter', 'sugar', 'eggs', 'salt', 'soda', 'flour', 'very ripe bananas', 'pecans']"
Curried Fruit Casserole,"[""1 (16 oz.) can each: pears, pineapple and apricots"", ""1 (4 oz.) jar maraschino cherries"", ""1 c. sugar"", ""1 scant Tbsp. curry powder"", ""butter""]","[""Drain fruit well."", ""Place in buttered casserole (6 1/2-cup or larger)."", ""Dab with butter."", ""Sift over fruit 1 cup of sugar with 1 scant tablespoon of curry."", ""Let set 24 hours in refrigerator. Bake, covered, at 350\u00b0 for 45 minutes."", ""Serve at once."", ""Leftovers are good cold.""]",www.cookbooks.com/Recipe-Details.aspx?id=531733,Gathered,"['pineapple', 'maraschino cherries', 'sugar', 'curry powder', 'butter']"
Pumpkin Muffins,"[""1 c. raisins"", ""1/2 c. water"", ""2 eggs"", ""1 c. pumpkin"", ""1 1/4 c. sugar"", ""3/4 tsp. cloves"", ""3/4 tsp. cinnamon"", ""1/2 tsp. salt"", ""1/3 c. oil"", ""1 3/4 c. flour"", ""1 1/2 tsp. baking powder"", ""1/2 tsp. soda""]","[""Let raisins and water stand for 5 minutes."", ""Mix together other ingredients, then add raisins."", ""Fill muffin pans 3/4 of the way full."", ""Bake at 400\u00b0 for 25 minutes."", ""Makes 12 to 16 muffins.""]",www.cookbooks.com/Recipe-Details.aspx?id=908794,Gathered,"['raisins', 'water', 'eggs', 'pumpkin', 'sugar', 'cloves', 'cinnamon', 'salt', 'oil', 'flour', 'baking powder', 'soda']"
Crunchy Asparagus(Serves 4)  ,"[""2 c. asparagus or frozen pkg."", ""2 Tbsp. water"", ""1 tsp. lemon juice"", ""3 or 4 drops Tabasco sauce"", ""dash of pepper"", ""1/4 tsp. salt (optional)"", ""1 Tbsp. shelled sunflower seeds"", ""lemon slices (optional)""]","[""Place asparagus and water in 1-quart casserole; cover. Microwave at High 4 1/2 to 5 1/2 minutes, or until asparagus is hot, stirring after half the cooking time to break apart."", ""Drain. Cover and set aside."", ""In small bowl or 1 cup measure, combine lemon juice, Tabasco sauce and seasonings."", ""Pour mixture over asparagus."", ""Toss to coat."", ""Sprinkle with sunflower seeds."", ""Garnish with lemon slices if desired.""]",www.cookbooks.com/Recipe-Details.aspx?id=315852,Gathered,"['water', 'lemon juice', 'Tabasco sauce', 'pepper', 'salt', 'sunflower seeds', 'lemon slices']"
Frosting,"[""1/2 c. Crisco"", ""2 Tbsp. flour"", ""2 Tbsp. milk"", ""pinch of salt"", ""1 egg white"", ""1/2 lb. (2 c.) powdered sugar"", ""1 tsp. vanilla""]","[""Beat all but egg white 4 to 5 minutes."", ""Add egg white."", ""Beat 5 minutes longer.""]",www.cookbooks.com/Recipe-Details.aspx?id=426039,Gathered,"['Crisco', 'flour', 'milk', 'salt', 'egg', 'powdered sugar', 'vanilla']"
Seven Layer Salad,"[""1 head lettuce"", ""1 c. bell pepper"", ""1 c. celery"", ""1 can sweet peas, drained"", ""1 can black olives, drained and sliced"", ""1 pt. mayonnaise"", ""1 Tbsp. sugar"", ""Parmesan cheese"", ""bacon bits""]","[""Layer in very large bowl the first 5 ingredients in order. Mix mayonnaise and sugar and spread on top, covering salad well. Sprinkle Parmesan cheese and bacon bits on top and refrigerate at least 8 hours."", ""Toss before serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=966737,Gathered,"['head lettuce', 'bell pepper', 'celery', 'sweet peas', 'black olives', 'mayonnaise', 'sugar', 'Parmesan cheese', 'bacon bits']"
